div3
person,M r. Elking
catnum,-1385.
div2,Miscellanies.
div3
person,M r. Clerk
catnum,-1387.
div2,Miscellanies.
div3
person,D r. Varin
catnum,-1389.
div2,Miscellanies.
div3
person,M r. Fabre
catnum,-1395.
div2,Miscellanies.
div3
person,M r. P B admore
catnum,-1396.
div2,Miscellanies.
div3
person, Pet
catnum,-1397.
div2,Miscellanies.
div3
person,M r. Wilsons
catnum,-1398.
div2,Miscellanies.
div3
person,M r. Lyell
catnum,-1422.
div2,Miscellanies.
div3
person, D r. Woodwards
catnum,-1423.
div2,Miscellanies.
div3
person, M r. Chishull
person, D r. Woodw d
catnum,-1436.
div2,Miscellanies.
div3
person,M rs. Smith
catnum,-1449.
div2,Miscellanies.
div3
person, M r. Petiver
catnum,-1452.
div2,Miscellanies.
div3
person, M r. Petiver
person,M r. Walduck.
person, Pet
catnum,-1454.
div2,Miscellanies.
div3
person, Pet
catnum,-1456.
div2,Miscellanies.
div3
person, Pet
catnum,-1457.
div2,Miscellanies.
div3
person,Carolina
person,M r. Standish
catnum,-1458.
div2,Miscellanies.
div3
person, Pet
catnum,-1459.
div2,Miscellanies.
div3
person,Capt. Walduck
catnum,-1463.
div2,Miscellanies.
div3
person, Pet.
catnum,-1469.
div2,Miscellanies.
div3
person, M r. Ranby
catnum,-1472.
div2,Miscellanies.
div3
person,M r. Barrets
person, M r. Ranby
catnum,-1474.
div2,Miscellanies.
div3
person,D r. Waldo
catnum,-1478.
div2,Miscellanies.
div3
person,M r. Dering
catnum,-1485.
div2,Miscellanies.
div3
person,D r. Waldo
catnum,-1487.
div2,Miscellanies.
div3
person,M r. Jones
catnum,-1491.
div2,Miscellanies.
div3
person,M r. Knowlton
catnum,-1492.
div2,Miscellanies.
div3
person, M r. Ranby
catnum,-1494.
div2,Miscellanies.
div3
person,M r. Maidstone
catnum,-1501.
div2,Miscellanies.
div3
person,Duke of Argyles
catnum,-1506.
div2,Miscellanies.
div3
person,M r. Maidston
catnum,-1512.
div2,Miscellanies.
div3
person, Q. Anne
catnum,-1535.
div2,Miscellanies.
div3
person, M r. Southwell
person,M r. Maidstone.
catnum,-1537.
div2,Miscellanies.
div3
person,M r. Purnell
catnum,-1538.
div2,Miscellanies.
div3
person,M r. Maidston
catnum,-1542.
div2,Miscellanies.
div3
person, M r. Woolhouse
catnum,-1550
div2,Miscellanies.
div3
person,D r. Mausafia
catnum,-1551.
div2,Miscellanies.
div3
